question_id	source_name	source_type	evidence_signal	supports	limits	confidence	url
MHQ003	Torc / AutoSens AV maintenance discussion	Industry event interview	The article emphasizes collaboration among vehicle manufacturers, suppliers, and regulators, plus data privacy and standards as challenges.	AV predictive maintenanceにはsupplier collaborationが必要という方向はある。	講演紹介記事であり、実契約やEPS supplier data accessの証明ではない。	Medium for collaboration need / Low for access proof	https://auto-sens.com/blog/predictive-maintenance-for-autonomous-vehicles/
MHQ004	Verizon Connect fleet maintenance	Commercial fleet platform article	Remote data can confirm sensor failure, support parts preparation, match repair specialists, and evaluate if a driver should return to garage immediately.	価値ある出力は交換時期ではなく、今戻すか、部品準備、修理手配、優先度判断。	例はengine/sensor中心で、steering-specificではない。	High for decision output / Low for EPS specificity	https://www.verizonconnect.com/resources/article/how-connected-fleet-maintenance-management-software-helps-prevent-downtime/
MHQ004	Geotab remote diagnostics	Commercial fleet platform article	Remote diagnostics helps understand thousands of fault codes and prioritize repairs through health reports, action plans, and alerts.	運行・整備判断に転記できる出力はrepair prioritizationである。	既存remote diagnosticsが既に一般層を押さえている可能性がある。	High	https://www.geotab.com/blog/remote-diagnostics/
MHQ004	Volvo Trucks Remote Diagnostics	OEM service page	Volvo positions remote diagnostics as maximizing uptime, avoiding unexpected downtime, and reducing diagnostic time by more than 70%.	診断時間短縮と稼働時間最大化が買われる文脈。	engine/I-Shift/aftertreatment中心で、steeringは含まれない。	Medium	https://www.volvotrucks.us/our-difference/uptime-and-connectivity/remote-diagnostics/
MHQ005	Torc / AutoSens AV maintenance discussion	Industry event interview	Current OBD is described as reactive and not equipped for AV complexity; predictive maintenance needs richer data, standards, and collaboration.	通常OBD/DTCだけではAVの運行判断に不足する可能性がある。	steering単体の不足ではなく、AV sensor/compute/cyberを含む広い話。	Medium	https://auto-sens.com/blog/predictive-maintenance-for-autonomous-vehicles/
MHQ005	Geotab remote diagnostics	Commercial fleet platform article	Commercial vehicles can generate thousands of fault codes; telematics-based remote diagnostics makes faults understandable and repair-prioritizable.	raw DTCだけでは運行・整備優先度に変換しにくいことを示す。	Geotabのような既存platformで足りる可能性も同時に示す。	High for raw-DTC insufficiency / Medium as kill risk	https://www.geotab.com/blog/remote-diagnostics/
MHQ005	Volvo Trucks Remote Diagnostics	OEM service page	Remote diagnostics transmits performance data to an uptime network and reduces diagnostic time.	DTC後の診断時間短縮が価値として存在する。	既存OEM remote diagnosticsの守備範囲であり、EPS supplierの差分は未確認。	Medium	https://www.volvotrucks.us/our-difference/uptime-and-connectivity/remote-diagnostics/
MHQ006	Bosch Engineering steering systems	Supplier official page	Bosch Engineering says EPS enables highly automated driving up to SAE L4 and that HAD/SbW systems use redundant safeguards for safety-critical aspects.	操舵系は自動運転の重要部品で、冗長・高可用の論点がある。	これは安全設計の根拠であり、整備判断需要の証明ではない。	Medium	https://www.bosch-engineering.com/services/mobility-solutions/motion/steering-systems/
MHQ006	Bosch fail-operational EPS press release	Supplier official press release	Bosch fail-operational EPS detects steering failure and moves to electrical fallback, allowing highly automated vehicles to reach a safe stop.	SbW/HADではdegraded/fallback stateが運行可否・整備優先度の入力候補になる。	製品安全説明であり、fleet maintenance商品需要ではない。	Medium	https://us.bosch-press.com/pressportal/us/en/press-release-728.html
MHQ007	Nexteer MotionIQ one-pager	Supplier PDF	MotionIQ suite streamlines chassis control, development, and vehicle health-monitoring workflows for OEMs across automotive, off-road, commercial vehicle, and adjacent mobility sectors.	EPS単体より、chassis / motion healthの束として見る方が公開signalに合う。	具体的なhealth対象・顧客導入は限定的にしか見えない。	Medium	https://www.nexteer.com/wp-content/uploads/2025_MotionIQ-One-Pager.pdf
