window_id	source_file	t_s	vEgo_mps	steerFiltered	steeringAngleDeg	latAccelDesired	latAccelSteeringAngle
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.0	6.34625	0.41376	-0.7	0.03998	0.05873
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.1	6.24644	0.42136	-0.7	0.05343	0.05692
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.2	6.15113	0.43288	-0.7	0.04027	0.05515
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.3	6.10257	0.41418	-0.60178	0.04346	0.05335
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.4	6.00045	0.46738	-0.6	0.03843	0.05168
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.5	5.91099	0.46361	-0.6	0.04176	0.05023
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.6	5.83944	0.43705	-0.6	0.03906	0.0491
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.7	5.77604	0.47869	-0.6	0.03572	0.04812
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.8	5.67863	0.46011	-0.50153	0.0356	0.04563
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	11.9	5.57917	0.44834	-0.5	0.02947	0.04395
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.0	5.50535	0.41423	-0.40104	0.03498	0.04191
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.1	5.43997	0.40999	-0.4	0.03192	0.04096
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.2	5.33254	0.44431	-0.4	0.02805	0.03936
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.3	5.24221	0.50078	-0.4	0.0227	0.03793
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.4	5.15544	0.54015	-0.4	0.02537	0.03669
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.5	5.08614	0.51773	-0.30193	0.02481	0.03507
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.6	5.00548	0.52486	-0.20029	0.02505	0.03325
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.7	4.8957	0.49441	-0.10029	0.02333	0.03108
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.8	4.81715	0.53966	-0.1	0.0167	0.03004
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	12.9	4.73452	0.59746	-0.00025	0.01547	0.02838
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.0	4.66655	0.5977	0.39074	0.01488	0.02517
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.1	4.57561	0.54076	1.09571	0.01343	0.02004
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.2	4.49099	0.48315	1.29902	0.01625	0.01814
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.3	4.4377	0.44869	1.3	0.01389	0.01764
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.4	4.38013	0.40258	1.3	0.01731	0.01714
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.5	4.32593	0.34623	1.3	0.01918	0.01667
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.6	4.26474	0.37881	1.3	0.01463	0.0161
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.7	4.2175	0.34529	1.3	0.02182	0.01565
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	13.8	4.17672	0.28806	1.3	0.02112	0.01529
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.4	4.34735	0.25241	15.70058	-0.1614	-0.0799
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.5	4.45121	0.30602	15.79925	-0.17405	-0.08448
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.6	4.54367	0.3599	15.8	-0.1804	-0.08797
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.7	4.63995	0.39767	15.8	-0.18324	-0.09179
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.8	4.71001	0.40608	15.89956	-0.18751	-0.09538
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.9	4.78327	0.39855	16.09806	-0.19012	-0.09995
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.0	4.84702	0.36015	16.50074	-0.20478	-0.10577
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.1	4.90109	0.35636	16.99604	-0.21399	-0.11206
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.2	4.98046	0.37156	17.09963	-0.22689	-0.11651
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.3	5.04816	0.41702	17.1	-0.23105	-0.11966
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.4	5.10855	0.40627	17.1	-0.22964	-0.12243
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.5	5.1735	0.36813	17.1	-0.22652	-0.12576
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.6	5.25485	0.39445	17.29894	-0.23133	-0.13154
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.7	5.33632	0.45178	18.79383	-0.24174	-0.14857
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.8	5.39474	0.50917	21.28715	-0.25442	-0.17345
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	22.9	5.45419	0.56618	21.79318	-0.2603	-0.1816
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.0	5.52586	0.56705	21.79993	-0.26401	-0.18651
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.1	5.60466	0.54429	21.70074	-0.26226	-0.19146
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.2	5.66233	0.49059	21.7	-0.26348	-0.19573
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.3	5.72558	0.43344	21.79929	-0.2689	-0.20166
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.4	5.78399	0.38318	21.7	-0.26403	-0.20548
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.5	5.84195	0.40211	21.7	-0.26959	-0.21016
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.6	5.89739	0.42501	21.7	-0.27049	-0.21456
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.7	5.94975	0.44815	21.7	-0.26831	-0.21871
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.8	6.01326	0.433	21.7	-0.25391	-0.22412
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	23.9	6.07886	0.38722	21.7	-0.24436	-0.22975
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	24.0	6.14214	0.3525	21.7	-0.26005	-0.23497
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	24.1	6.18903	0.36377	21.7	-0.26146	-0.23919
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	24.2	6.22956	0.36781	21.60001	-0.25137	-0.24167
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	24.3	6.28844	0.31099	21.6	-0.24188	-0.24654
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	24.4	6.35956	0.25284	21.59977	-0.2366	-0.25234
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	36.8	4.30193	0.29904	5.10062	-0.08086	0.01249
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	36.9	4.43091	0.35617	5.19999	-0.09115	0.01238
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.0	4.54867	0.4142	5.21454	-0.09583	0.01298
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.1	4.6933	0.47081	6.78986	-0.10569	0.00328
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.2	4.83235	0.52928	9.91488	-0.11789	-0.01882
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.3	4.96402	0.58613	11.2	-0.12498	-0.02957
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.4	5.11165	0.64419	11.2	-0.1342	-0.03147
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.5	5.27383	0.70098	11.2	-0.13205	-0.03354
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.6	5.47149	0.75886	12.61248	-0.13876	-0.04862
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.7	5.64769	0.8157	14.49134	-0.13848	-0.07003
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.8	5.84185	0.87268	14.89469	-0.14679	-0.07934
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	37.9	6.01933	0.93069	15.02055	-0.15247	-0.08576
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.0	6.18513	0.87466	17.45683	-0.15517	-0.1184
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.1	6.35407	0.8156	19.70106	-0.13643	-0.15211
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.2	6.50452	0.7591	19.79937	-0.12927	-0.16111
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.3	6.66912	0.70132	19.8	-0.10719	-0.16941
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.4	6.82111	0.64316	19.8	-0.08932	-0.17692
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.5	6.97406	0.58569	19.8	-0.04822	-0.18566
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.6	7.1177	0.52829	19.8	-0.02378	-0.19378
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.7	7.27032	0.4716	19.8	-0.00839	-0.20154
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.8	7.43703	0.41359	19.79808	0.01829	-0.21114
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	38.9	7.58057	0.35703	19.50307	9e-05	-0.21486
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	39.0	7.7307	0.29842	19.39165	0.07174	-0.22083
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.5	6.41105	0.48316	8.4	-0.19836	-0.00395
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.6	6.54177	0.53999	8.4	-0.20346	-0.00466
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.7	6.66541	0.59776	8.40479	-0.19931	-0.00509
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.8	6.81124	0.65501	9.99919	-0.21692	-0.02649
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.9	6.91086	0.71248	12.09781	-0.20785	-0.05605
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.0	6.99734	0.76993	12.99885	-0.20138	-0.07008
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.1	7.13341	0.82715	13.29821	-0.22467	-0.07672
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.2	7.23374	0.88476	15.1946	-0.2241	-0.10708
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.3	7.32862	0.94239	17.10037	-0.24402	-0.13987
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.4	7.42212	0.93099	18.30964	-0.25874	-0.16287
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.5	7.49704	0.87344	21.50939	-0.26731	-0.21827
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.6	7.56552	0.81575	23.90076	-0.26777	-0.26317
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.7	7.64014	0.7583	24.0	-0.24331	-0.27085
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.8	7.72866	0.70097	24.0	-0.19984	-0.27787
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	16.9	7.85387	0.64327	23.99911	-0.16383	-0.28805
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	17.0	7.99933	0.58633	23.90004	-0.15578	-0.29697
