case_id	source_type	source_url	manufacturer	model	model_years	public_signal	driver_visible_pain	scenario_context	scale_signal	reported_or_suspected_cause	remedy_or_action	proxy_feature_hint	what_it_supports	what_it_does_not_prove	confidence
MKT029	NHTSA recall dealer document	https://static.nhtsa.gov/odi/rcl/2024/RCMN-24V412-9291.pdf	Hyundai	Santa Cruz	2024	MDPS electric power pack PCB contamination	MIL and loss of assist during operation	Dealer hold / remedy under development at initial notice	Affected production dates 04/29/2024-05/21/2024	Contaminated flux causing electrical short	Remedy under development in dealer document	mil_loss_assist_supply_chain	Public supplier/component scenario	Failure detectability from public data	High
MKT030	NHTSA equipment recall	https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24E046-8573.PDF	Mando America	MDPS Power Pack	2024	ECU detects DTC due to short/open circuit	Loss of steering assist	Equipment-level recall; supplied to Hyundai/Kia	3946 units; estimated 1% defect	PCBA contaminated flux causing short/open circuit	Equipment recall / manufacturer reports	dtc_to_loss_assist	Public evidence of DTC-linked EPS assist loss	Vehicle-level user frequency	High
MKT031	NHTSA recall acknowledgement	https://static.nhtsa.gov/odi/rcl/2024/RCAK-24V422-7069.pdf	Kia	Sportage	2024	MDPS circuit board may short circuit	Loss of power steering assist	Recall SC319	1075 affected units	Circuit board short circuit in MDPS assembly	Replace MDPS electric power pack	mdps_power_pack_loss	Public component-level market pain	Internal diagnostic gap	High
MKT032	NHTSA chronology	https://static.nhtsa.gov/odi/rcl/2024/RMISC-24V287-1509.pdf	Kia	Sorento	2024	MDPS harness damage / communication or power circuit issue	Reduced or complete loss of assist	Noise while turning / pre-delivery complaint; possible reduced or complete assist	95 recall population in related quarterly report; two identified incidents in chronology	Wire harness chafing between harness and steering shaft	Recall certain vehicles; inspect/repair implied	harness_chafing_turn_noise	Usage of turning/noise as driver or dealer symptom	Broader market demand	High
MKT033	NHTSA recall acknowledgement	https://static.nhtsa.gov/odi/rcl/2025/RCAK-25V582-4155.pdf	Acura	RDX	2025	EPS assist software calibration may trigger failsafe	Loss of assist / increased effort	EPS may enter failsafe mode	17334 affected units	Software calibration not proper	Dealer EPS software reprogramming	failsafe_software_context	Software/failsafe public pain case	Demand for independent EPS feature	High
MKT034	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2025/INOA-PE25009-18789.pdf	Chrysler	Pacifica	2017-2018	Intermittent loss of EPS during gradual turns	Sticking sensation / increased effort / oversteer risk	Steering wheel near 11 or 1 o'clock; gradual turns; sudden return of assist	287000 population; 94 VOQs in opening resume	Alleged EPS defect under PE25009	Preliminary Evaluation opened	gradual_turn_sticking_oversteer	Steering context risk demo scenario	Root cause / remedy	High
MKT035	NHTSA information request	https://static.nhtsa.gov/odi/inv/2025/INIM-PE25009-40374.pdf	Chrysler	Pacifica	2017-2020	Intermittent sticking during gradual turns	Increased effort / sudden reactivation	11 or 1 o'clock steering position; gradual turns	201 reports cited in information request	Alleged loss/partial loss/intermittent disruption of EPS assist	Information request to manufacturer	gradual_turn_sticking_oversteer	Context-specific driver pain scenario	Final safety defect conclusion	High
MKT036	NHTSA TSB / RSU	https://static.nhtsa.gov/odi/tsbs/2024/MC-11011757-0001.pdf	Chrysler	Pacifica / Voyager	2024	Loss of electric power steering with DTC C2217-00	EPS lamp / loss of power steering	Customer may comment on loss of power steering and EPS lamp	TSB 19-003-24; affected build windows	Steering gear assembly	Replace steering gear assembly and alignment	dtc_c2217_eps_lamp	Public DTC-to-driver symptom mapping	Market frequency	High
MKT037	NHTSA TSB / RSU	https://static.nhtsa.gov/odi/tsbs/2024/MC-11011757-0001.pdf	Dodge	Durango	2024	Loss of electric power steering with DTC C2217-00	EPS lamp / loss of power steering	Customer may comment on loss of power steering and EPS lamp	TSB 19-003-24; affected build windows	Steering gear assembly	Replace steering gear assembly and alignment	dtc_c2217_eps_lamp	Public DTC-to-driver symptom mapping	Market frequency	High
MKT038	NHTSA recall acknowledgement	https://static.nhtsa.gov/odi/rcl/2024/RCAK-24V022-1669.pdf	Mazda	CX-90	2024	Worm gear assembly issue may cause sudden loss of assist	Loss of assist / crash risk	Power steering assist loss while driving	43752 affected units	Worm gear assembly issue	Replace spring engaging worm gear and reapply grease	mechanical_worm_gear_context	Public mechanical steering pain case	EPS ECU diagnostic value	High
